author,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,total,ratio
Alexandre Petillon,0,0,0,0,0,0,0,0,0,1,0,1,1.000
Alexandre Proutière,0,0,0,0,0,0,0,0,0,1,0,1,1.000
Alexandre Termier,0,0,0,0,0,0,0,0,1,0,0,1,1.000
Alexandros A. Voudouris,0,0,0,0,0,0,0,0,0,1,1,2,1.000
Alexandros G. Dimakis,0,0,0,0,0,0,0,0,0,0,1,1,1.000
Alexandros Karatzoglou,0,0,0,0,0,0,1,0,0,0,0,1,0.000
Alexandros Nanopoulos,0,0,0,0,0,1,0,0,0,0,0,1,0.000
Alexandros Zenonos,0,0,0,0,0,0,0,0,0,1,0,1,1.000
Alexandru Niculescu-Mizil,1,0,0,0,0,0,0,0,0,0,0,1,0.000
Alexei A. Efros,1,0,0,0,0,0,0,0,0,0,0,1,0.000
Alexis Toumi,0,0,0,0,0,0,0,0,0,1,0,1,1.000
Alfred Krzywicki,0,0,0,0,0,0,0,1,0,0,0,1,0.000
Alfred Zong,0,0,0,0,0,0,0,1,0,0,0,1,0.000
Alfredo Alba,0,0,0,0,0,0,0,0,0,1,0,1,1.000
Alfredo Carrillo,0,0,0,0,0,0,0,0,0,1,0,1,1.000
Alfredo Gabaldon,1,0,0,0,0,0,0,0,1,0,0,2,0.500
Alfredo Kalaitzis,0,0,0,0,0,0,0,0,0,1,0,1,1.000
Ali A. Ghorbani,0,1,0,0,0,0,0,0,0,0,0,1,0.000
Ali Borji,0,0,0,0,0,1,0,0,0,0,0,1,0.000
Ali Farhadi,0,0,0,0,0,0,0,1,0,2,0,3,0.667
Ali Ghodsi,0,1,0,1,0,0,0,0,0,0,0,2,0.000
Ali Kamen,0,0,0,0,0,0,0,0,0,0,1,1,1.000
Ali Khodadadi,0,0,0,0,0,0,0,0,0,0,1,1,1.000
Ali Zarezade,0,0,0,0,0,0,0,0,0,0,1,1,1.000
Alice H. Oh,0,0,0,0,0,0,1,0,0,0,0,1,0.000
Alice M. Mulvehill,0,0,0,0,0,0,1,0,0,0,0,1,0.000
Alicia Lyman-Holt,0,0,0,0,0,0,0,0,0,0,1,1,1.000
Alie El-Din Mady,0,0,0,0,1,0,0,0,0,0,0,1,0.000
Alina Bialkowski,0,0,0,0,0,1,0,0,0,0,0,1,0.000
Alina Deshpande,0,0,0,0,0,0,0,0,1,0,0,1,1.000
Alina Kuznetsova,0,0,0,0,0,0,0,0,0,1,0,1,1.000
Aline Belloni,0,0,0,0,0,0,0,0,1,0,0,1,1.000
Alireza Ghasemi,0,0,0,0,0,1,0,0,0,0,0,1,0.000
Aliya Merali,0,0,0,0,0,0,0,0,1,0,0,1,1.000
Alkida Balliu,0,0,0,0,0,0,0,0,0,0,2,2,1.000
Alla Rozovskaya,0,1,0,0,0,0,0,0,0,0,0,1,0.000
Allan Schumacher,1,0,0,0,0,0,0,0,0,0,0,1,0.000
Allen Lavoie,0,0,0,0,0,0,1,0,0,0,0,1,0.000
Allen Van Gelder,0,1,0,0,0,0,0,0,0,0,0,1,0.000
Alnur Ali,0,0,0,0,0,0,0,1,0,0,0,1,0.000
Alok N. Choudhary,0,0,0,0,0,0,0,0,0,0,1,1,1.000
Alon Altman,0,0,0,1,0,0,0,0,0,0,0,1,0.000
Alvaro Cortés-Calabuig,1,0,0,0,0,0,0,0,0,0,0,1,0.000
Alvin Chua,0,0,0,0,0,0,0,0,1,0,0,1,1.000
Amal Chaminda Kaluarachchi,0,0,0,1,0,0,0,0,0,0,0,1,0.000
Aman Behal,0,0,0,0,0,0,0,0,0,1,0,1,1.000
Aman Dhesi,0,0,0,1,0,0,0,0,0,0,0,1,0.000
Aman Goel,0,0,0,0,1,0,0,0,0,0,0,1,0.000
Aman Madaan,0,0,0,0,0,0,0,0,0,1,0,1,1.000
Amanda K. Cowell,1,0,0,0,0,0,0,0,0,0,0,1,0.000
Amanda Smith,1,1,0,0,0,0,0,0,0,0,0,2,0.000
Amanda Stent,0,0,0,0,0,0,0,0,0,1,0,1,1.000
Amanda Thart,0,0,0,0,0,0,0,0,0,1,0,1,1.000
Amandalynne Paullada,0,0,0,0,0,0,0,0,0,1,0,1,1.000
Amandeep Singh,0,0,0,0,0,0,0,0,0,2,0,2,1.000
Amar Parkash,0,0,0,0,0,1,0,0,0,0,0,1,0.000
Amar Viswanathan,0,0,0,0,0,0,0,0,0,1,0,1,1.000
Amarjeet Singh 0001,0,0,0,0,0,1,0,0,0,0,1,2,0.500
Ambedkar Dukkipati,0,0,0,0,0,0,1,0,1,0,0,2,0.500
Ambuj Tewari,0,0,0,0,0,0,0,0,0,1,0,1,1.000
Amelia C. Regan,0,0,0,0,0,0,0,1,0,0,0,1,0.000
Amin Karbasi,0,0,0,0,0,0,0,0,2,1,1,4,1.000
Amin Mousavi,0,0,0,0,0,0,0,0,1,0,0,1,1.000
Amine Balafrej,0,0,0,0,0,0,0,1,0,0,0,1,0.000
Amip Shah,0,0,0,0,1,0,0,0,0,0,0,1,0.000
Amir Elmishali,0,0,0,0,0,0,0,0,0,1,0,1,1.000
Amir Sadeghipour,0,0,0,0,0,0,0,1,0,0,0,1,0.000
Amir-massoud Farahmand,0,0,0,0,0,0,0,0,1,1,0,2,1.000
AmirMahdi Ahmadinejad,0,0,0,0,0,0,0,0,0,1,0,1,1.000
Amirali Salehi-Abari,0,0,0,1,0,0,0,0,0,0,0,1,0.000
Amirmohammad Rooshenas,0,0,0,0,0,0,1,0,0,1,0,2,0.500
Amit Dhurandhar,0,0,0,0,0,0,0,0,1,0,0,1,1.000
Amit Goyal,1,0,0,0,1,0,0,0,0,0,0,2,0.000
Amit K. Chopra,1,0,0,0,0,0,0,0,1,0,0,2,0.500
Amit Metodi,0,0,0,0,0,1,0,0,0,0,0,1,0.000
Amit P. Sheth,0,0,0,0,0,0,0,0,1,1,1,3,1.000
Amitabh Trehan,0,0,0,0,0,0,1,0,0,0,0,1,0.000
Amitabha Mukerjee,0,0,0,0,0,1,0,0,0,0,1,2,0.500
Amitava Das,0,0,0,0,0,0,0,0,0,0,1,1,1.000
Amnon Meisels,0,0,0,0,0,0,0,1,0,0,0,1,0.000
Amos Azaria,0,0,0,0,1,3,4,3,1,2,0,14,0.214
Amos Fiat,0,0,0,0,0,0,0,0,0,1,0,1,1.000
Amos J. Storkey,0,0,0,0,0,0,0,0,0,1,0,1,1.000
Amrita Saha,0,0,0,0,0,1,0,0,0,0,0,1,0.000
Amulya Yadav,0,0,0,0,0,0,0,1,1,1,0,3,0.667
Amy Barnes,0,0,0,0,0,0,0,0,0,1,0,1,1.000
Amy Greenwald,1,0,0,0,0,0,2,0,0,0,0,3,0.000
Amy McGovern,0,0,0,0,0,0,0,0,1,0,0,1,1.000
Amy Sue Fire,0,0,0,0,0,0,1,0,0,0,0,1,0.000
An C. Tran,0,0,0,0,0,0,1,0,0,0,0,1,0.000
Ana Armas Romero,0,0,0,0,0,0,0,0,1,0,0,1,1.000
