author,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,total,ratio
Adriana Kovashka,0,0,0,0,0,1,0,0,0,0,0,1,0.000
Adriana Prado,0,1,0,0,0,0,0,0,0,0,0,1,0.000
Adriano C. M. Pereira,0,0,0,0,0,0,0,1,0,0,0,1,0.000
Adriano Peron,0,0,0,0,0,0,0,0,0,1,0,1,1.000
Adriano Veloso,0,1,0,0,2,0,0,1,0,0,0,4,0.000
Adriel Dean-Hall,0,0,0,0,0,0,0,0,1,0,0,1,1.000
Adrien Todeschini,0,0,0,0,0,0,1,0,0,0,0,1,0.000
Adrien Wohrer,0,0,0,1,0,0,0,0,0,0,0,1,0.000
Adri� Puigdomènech Badia,0,0,0,0,0,0,0,0,0,0,1,1,1.000
Adri� Recasens,0,0,0,0,0,0,0,0,1,0,0,1,1.000
Adwait Ratnaparkhi,0,0,0,1,0,0,0,1,0,0,1,3,0.333
Afonso S. Bandeira,0,0,0,0,0,0,0,1,0,2,0,3,0.667
Afsaneh Doryab,0,0,0,0,0,0,0,1,0,0,0,1,0.000
Afsaneh Shirazi,1,1,0,0,0,0,0,0,0,0,0,2,0.000
Afshin Abdi,0,0,0,0,0,0,0,0,0,0,1,1,1.000
Afshin Rostamizadeh,1,2,2,0,0,0,1,1,1,0,0,8,0.125
Aftab Hasan,0,0,0,0,0,0,0,0,0,1,0,1,1.000
Aftab Khan,0,0,0,0,0,0,0,0,0,0,1,1,1.000
Agata Ciabattoni,0,0,0,1,0,0,0,0,0,0,0,1,0.000
Agenor Mafra-Neto,0,0,0,0,1,0,0,0,0,0,0,1,0.000
Aggrey Rwetsiba,0,0,0,0,0,0,0,0,0,1,0,1,1.000
Aghiles Salah,0,0,0,0,0,0,0,0,0,0,1,1,1.000
Agim Ballvora,0,0,0,0,0,1,0,0,0,0,0,1,0.000
Agma Juci Machado Traina,0,0,0,0,1,0,0,0,1,0,0,2,0.500
Agnes Radl,0,0,0,1,0,0,0,0,0,0,0,1,0.000
Agnieszka Grabska-Barwinska,0,0,0,0,0,0,1,1,0,0,0,2,0.000
Agnieszka Lawrynowicz,0,0,0,0,0,0,0,0,1,0,0,1,1.000
Agostino Dovier,1,0,0,0,0,0,0,0,0,0,0,1,0.000
