author,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,total,ratio
Abe Davis,0,0,0,0,0,1,0,0,1,0,0,2,0.500
Abed Malti,0,0,0,0,0,0,1,0,1,0,1,3,0.667
Abel Gonzalez-Garcia,0,0,0,0,0,0,0,0,1,0,0,1,1.000
Abel N. Kho,0,0,0,0,0,0,0,0,1,0,0,1,1.000
Abena Primo,0,0,0,0,0,0,0,1,0,0,0,1,0.000
Abha Laddha,0,0,0,0,0,0,0,0,0,0,1,1,1.000
Abha Moitra,0,0,0,0,0,0,0,0,0,1,0,1,1.000
Abhay Harpale,1,1,1,0,0,1,0,0,0,0,0,4,0.000
Abhay Kumar Jha,0,0,0,1,0,1,0,0,0,0,0,2,0.000
Abhay Pasupathy,0,0,0,0,0,0,0,0,0,0,1,1,1.000
Abhijeet Ghosh,1,0,0,0,0,0,0,0,0,0,1,2,0.500
Abhijeet Sangwan,0,0,0,0,0,0,1,0,0,0,0,1,0.000
Abhijin Adiga,0,0,0,0,0,0,1,1,0,1,0,3,0.333
Abhijit Bendale,0,1,0,0,0,0,0,1,1,2,0,5,0.600
Abhijit Bhole,0,0,0,1,0,0,0,0,1,0,0,2,0.500
Abhijit Kundu,0,0,0,0,0,0,0,0,0,1,0,1,1.000
Abhijit Mishra,0,0,0,0,0,0,0,0,0,1,1,2,1.000
Abhijith Kashyap,0,0,0,0,0,0,0,1,0,0,0,1,0.000
Abhijith Punnappurath,0,0,0,0,0,0,0,1,0,0,0,1,0.000
Abhilash Dighe,0,0,0,0,0,0,0,0,0,0,1,1,1.000
Abhilash Srikantha,0,0,0,0,0,0,0,0,0,0,1,1,1.000
Abhimanu Kumar,0,0,0,0,1,0,0,0,2,0,0,3,0.667
Abhimanyu Das,0,0,0,0,0,2,1,0,0,0,0,3,0.000
Abhimanyu Lad,1,0,0,0,0,0,0,0,0,1,0,2,0.500
Abhinandan Dubey,0,0,0,0,0,0,0,0,0,0,1,1,1.000
Abhinav Agarwalla,0,0,0,0,0,0,0,0,0,0,2,2,1.000
Abhinav Dhall,0,0,0,0,0,0,0,0,1,0,0,1,1.000
Abhinav Goel,0,0,0,0,0,0,1,0,0,0,0,1,0.000
Abhinav Gupta,1,2,1,2,2,0,2,2,3,5,8,28,0.571
Abhinav Kumar,0,0,0,0,0,0,1,0,0,0,0,1,0.000
Abhinav Sethy,0,0,1,0,0,0,0,0,0,0,0,1,0.000
Abhinav Shrivastava,0,0,0,0,0,0,0,1,1,2,1,5,0.800
Abhinav Sinha,0,0,0,0,0,0,0,1,0,0,0,1,0.000
Abhiram Natarajan,0,0,0,0,0,0,0,0,0,0,1,1,1.000
Abhisek Kundu,0,0,0,0,0,0,0,0,1,0,0,1,1.000
Abhishek Anand,0,0,0,0,1,0,0,0,0,0,0,1,0.000
Abhishek B. Sharma,1,0,0,0,0,1,2,0,0,0,0,4,0.000
Abhishek Das,0,0,0,0,0,0,0,0,0,0,1,1,1.000
Abhishek Gupta,0,0,2,0,0,0,0,1,1,1,0,5,0.400
Abhishek Kar,0,0,0,0,0,0,0,0,2,0,1,3,1.000
Abhishek Kolagunda,0,0,0,0,0,0,0,0,1,0,2,3,1.000
Abhishek Kumar,0,0,0,0,0,0,0,0,0,0,3,3,1.000
Abhishek Kumar 0001,0,0,0,1,1,2,0,0,0,0,0,4,0.000
Abhishek Nagar,0,1,0,0,0,0,0,1,0,0,0,2,0.000
Abhishek Narwekar,0,0,0,0,0,0,0,0,0,1,0,1,1.000
Abhishek Sharma,0,0,0,0,1,2,1,1,1,0,1,7,0.286
