author,title,year,conference
Walid Krichene_Peter L. Bartlett,Acceleration and Averaging in Stochastic Descent Dynamics.,2017,NIPS
Joseph Schlecht_Kobus Barnard,Learning models of object structure.,2009,NIPS
Bryan McCann_James Bradbury_Caiming Xiong_Richard Socher,Learned in Translation: Contextualized Word Vectors.,2017,NIPS
Igor Colin_Aurélien Bellet_Joseph Salmon_Stéphan Clémençon,Extending Gossip Algorithms to Distributed Estimation of U-statistics.,2015,NIPS
Marius Pachitariu_Nicholas A. Steinmetz_Shabnam N. Kadir_Matteo Carandini_Kenneth D. Harris,Fast and accurate spike sorting of high-channel count probes with KiloSort.,2016,NIPS
Siddhartha Banerjee_Peter Lofgren,Fast Bidirectional Probability Estimation in Markov Models.,2015,NIPS
Alexander G. Schwing_Tamir Hazan_Marc Pollefeys_Raquel Urtasun,Globally Convergent Dual MAP LP Relaxation Solvers using Fenchel-Young Margins.,2012,NIPS
Nihar Bhadresh Shah_Denny Zhou,Double or Nothing: Multiplicative Incentive Mechanisms for Crowdsourcing.,2015,NIPS
Chao Yuan_Claus Neubauer,Variational Mixture of Gaussian Process Experts.,2008,NIPS
Geremy Heitz_Gal Elidan_Benjamin Packer_Daphne Koller,Shape-Based Object Localization for Descriptive Classification.,2008,NIPS
Jakob H. Macke_Sebastian Gerwinn_Leonard E. White_Matthias Kaschube_Matthias Bethge,Bayesian estimation of orientation preference maps.,2009,NIPS
Ping Li 0001_Art B. Owen_Cun-Hui Zhang,One Permutation Hashing.,2012,NIPS
Dan Xu_Wanli Ouyang_Xavier Alameda-Pineda_Elisa Ricci_Xiaogang Wang_Nicu Sebe,Learning Deep Structured Multi-Scale Features using Attention-Gated CRFs for Contour Prediction.,2017,NIPS
Alexandre Bouchard-Côté_Michael I. Jordan_Dan Klein,Efficient Inference in Phylogenetic InDel Trees.,2008,NIPS
John Wright_Arvind Ganesh_Shankar R. Rao_YiGang Peng_Yi Ma,Robust Principal Component Analysis: Exact Recovery of Corrupted Low-Rank Matrices via Convex Optimization.,2009,NIPS
Aäron van den Oord_Sander Dieleman_Benjamin Schrauwen,Deep content-based music recommendation.,2013,NIPS
Christopher Lynn_Daniel D. Lee,Maximizing Influence in an Ising Network: A Mean-Field Optimal Solution.,2016,NIPS
Ivan Herreros_Xerxes D. Arsiwalla_Paul F. M. J. Verschure,A forward model at Purkinje cell synapses facilitates cerebellar anticipatory control.,2016,NIPS
Duc Thien Nguyen_Akshat Kumar_Hoong Chuin Lau,Policy Gradient With Value Function Approximation For Collective Multiagent Planning.,2017,NIPS
Charles Kemp,Quantification and the language of thought.,2009,NIPS
Nati Srebro_Karthik Sridharan_Ambuj Tewari,On the Universality of Online Mirror Descent.,2011,NIPS
Ruslan Salakhutdinov_Andriy Mnih,Probabilistic Matrix Factorization.,2007,NIPS
Prateek Jain 0002_Sewoong Oh,Provable Tensor Factorization with Missing Data.,2014,NIPS
Pingfan Tang_Jeff M. Phillips,The Robustness of Estimator Composition.,2016,NIPS
Changyou Chen_Nan Ding_Lawrence Carin,On the Convergence of Stochastic Gradient MCMC Algorithms with High-Order Integrators.,2015,NIPS
Sebastian Millner_Andreas Grübl_Karlheinz Meier_Johannes Schemmel_Marc-Olivier Schwartz,A VLSI Implementation of the Adaptive Exponential Integrate-and-Fire Neuron Model.,2010,NIPS
Alex Kulesza_Fernando Pereira,Structured Learning with Approximate Inference.,2007,NIPS
Vikas K. Garg_Tommi S. Jaakkola,Learning Tree Structured Potential Games.,2016,NIPS
Masashi Sugiyama_Takafumi Kanamori_Taiji Suzuki_Marthinus Christoffel du Plessis_Song Liu_Ichiro Takeuchi,Density-Difference Estimation.,2012,NIPS
Barry Chai_Dirk B. Walther_Diane M. Beck_Fei-Fei Li,Exploring Functional Connectivities of the Human Brain using Multivariate Information Analysis.,2009,NIPS
Liang Sun 0001_Jun Liu 0003_Jianhui Chen_Jieping Ye,Efficient Recovery of Jointly Sparse Vectors.,2009,NIPS
Chad Scherrer_Ambuj Tewari_Mahantesh Halappanavar_David Haglin,Feature Clustering for Accelerating Parallel Coordinate Descent.,2012,NIPS
Lawrence Cayton_Sanjoy Dasgupta,A learning framework for nearest neighbor search.,2007,NIPS
Nobuyuki Morioka_Shin'ichi Satoh,Generalized Lasso based Approximation of Sparse Coding for Visual Recognition.,2011,NIPS
Kevyn Collins-Thompson,Estimating Robust Query Models with Convex Optimization.,2008,NIPS
Alexander L. Strehl_Michael L. Littman,Online Linear Regression and Its Application to Model-Based Reinforcement Learning.,2007,NIPS
Kilian Q. Weinberger_Olivier Chapelle,Large Margin Taxonomy Embedding for Document Categorization.,2008,NIPS
Hong Wang_Wei Xing_Kaiser Asif_Brian D. Ziebart,Adversarial Prediction Games for Multivariate Losses.,2015,NIPS
Tasuku Soma_Yuichi Yoshida,A Generalization of Submodular Cover via the Diminishing Return Property on the Integer Lattice.,2015,NIPS
Alan Stocker_Eero P. Simoncelli,A Bayesian Model of Conditioned Perception.,2007,NIPS
Philip M. Long_Rocco A. Servedio,Adaptive Martingale Boosting.,2008,NIPS
Fuxin Li_Cristian Sminchisescu,Convex Multiple-Instance Learning by Estimating Likelihood Ratio.,2010,NIPS
Nicolò Cesa-Bianchi_Ofer Dekel_Ohad Shamir,Online Learning with Switching Costs and Other Adaptive Adversaries.,2013,NIPS
Stephen P. Boyd_Corinna Cortes_Mehryar Mohri_Ana Radovanovic,Accuracy at the Top.,2012,NIPS
Philip Bachman,An Architecture for Deep Hierarchical Generative Models.,2016,NIPS
Yu Zhang,Heterogeneous-Neighborhood-based Multi-Task Local Learning Algorithms.,2013,NIPS
Adarsh Prasad_Alexandru Niculescu-Mizil_Pradeep Ravikumar,On Separability of Loss Functions and Revisiting Discriminative Vs Generative Models.,2017,NIPS
Tao Wu_Austin R. Benson_David F. Gleich,General Tensor Spectral Co-clustering for Higher-Order Data.,2016,NIPS
Ashish Kapoor_Nathan Wiebe_Krysta Marie Svore,Quantum Perceptron Models.,2016,NIPS
Ofer Meshi_Tommi S. Jaakkola_Amir Globerson,Convergence Rate Analysis of MAP Coordinate Minimization Algorithms.,2012,NIPS
Sivan Sabato_Anand D. Sarwate_Nati Srebro,Auditing: Active Learning with Outcome-Dependent Query Costs.,2013,NIPS
Yacine Jernite_Yonatan Halpern_David Sontag,Discovering Hidden Variables in Noisy-Or Networks using Quartet Tests.,2013,NIPS
Yichao Lu_Dean P. Foster,large scale canonical correlation analysis with iterative least squares.,2014,NIPS
Zhaoran Wang_Huanran Lu_Han Liu,Tighten after Relax: Minimax-Optimal Sparse PCA in Polynomial Time.,2014,NIPS
Vikas Singh_Lopamudra Mukherjee_Jiming Peng_Jinhui Xu 0001,Ensemble Clustering using Semidefinite Programming.,2007,NIPS
Bonnie Kirkpatrick_Alexandre Bouchard-Côté,Bayesian Pedigree Analysis using Measure Factorization.,2012,NIPS
Nicolò Cesa-Bianchi_Ohad Shamir,Efficient Online Learning via Randomized Rounding.,2011,NIPS
Mahdi Milani Fard_Joelle Pineau,MDPs with Non-Deterministic Policies.,2008,NIPS
Marc Peter Deisenroth_Shakir Mohamed,Expectation Propagation in Gaussian Process Dynamical Systems.,2012,NIPS
James McInerney_Rajesh Ranganath_David M. Blei,The Population Posterior and Bayesian Modeling on Streams.,2015,NIPS
Jakob H. Macke_Lars Buesing_John P. Cunningham_Byron M. Yu_Krishna V. Shenoy_Maneesh Sahani,Empirical models of spiking in neural populations.,2011,NIPS
Corinna Cortes_Vitaly Kuznetsov_Mehryar Mohri_Scott Yang,Structured Prediction Theory Based on Factor Graph Complexity.,2016,NIPS
Martin Zinkevich_Michael Johanson_Michael H. Bowling_Carmelo Piccione,Regret Minimization in Games with Incomplete Information.,2007,NIPS
Kaushik Sinha_Mikhail Belkin,The Value of Labeled and Unlabeled Examples when the Model is Imperfect.,2007,NIPS
Jennifer Gillenwater_Alex Kulesza_Ben Taskar,Near-Optimal MAP Inference for Determinantal Point Processes.,2012,NIPS
Scott Yang_Mehryar Mohri,Online Learning with Transductive Regret.,2017,NIPS
Ibrahim M. Alabdulmohsin,Algorithmic Stability and Uniform Generalization.,2015,NIPS
Yi Xu_Mingrui Liu_Qihang Lin_Tianbao Yang,ADMM without a Fixed Penalty Parameter: Faster Convergence with New Adaptive Penalization.,2017,NIPS
Guillaume Lample_Neil Zeghidour_Nicolas Usunier_Antoine Bordes_Ludovic Denoyer_Marc'Aurelio Ranzato,Fader Networks: Manipulating Images by Sliding Attributes.,2017,NIPS
Devarajan Sridharan_Brian Percival_John V. Arthur_Kwabena Boahen,An in-silico Neural Model of Dynamic Routing through Neuronal Coherence.,2007,NIPS
Ashish Kapoor_Eric Horvitz,Breaking Boundaries Between Induction Time and Diagnosis Time Active Information Acquisition.,2009,NIPS
Kian Ming Adam Chai_Christopher K. I. Williams_Stefan Klanke_Sethu Vijayakumar,Multi-task Gaussian Process Learning of Robot Inverse Dynamics.,2008,NIPS
Chongxuan Li_Taufik Xu_Jun Zhu_Bo Zhang,Triple Generative Adversarial Nets.,2017,NIPS
Zhi Yang_Qi Zhao_Wentai Liu,Spike Feature Extraction Using Informative Samples.,2008,NIPS
Akshay Krishnamurthy_Aarti Singh,Low-Rank Matrix and Tensor Completion via Adaptive Sampling.,2013,NIPS
Sébastien Bubeck_Che-Yu Liu,Prior-free and prior-dependent regret bounds for Thompson Sampling.,2013,NIPS
Bryan R. Gibson_Xiaojin Zhu 0001_Timothy T. Rogers_Chuck Kalish_Joseph Harrison,Humans Learn Using Manifolds Reluctantly.,2010,NIPS
Stéphan Clémençon_Nicolas Vayatis,Overlaying classifiers: a practical approach for optimal ranking.,2008,NIPS
Onur Dikmen_Cédric Févotte,Nonnegative dictionary learning in the exponential noise model for adaptive music signal representation.,2011,NIPS
Necdet Serhat Aybat_Erfan Yazdandoost Hamedani,A primal-dual method for conic constrained distributed optimization problems.,2016,NIPS
Philipp Hennig,Optimal Reinforcement Learning for Gaussian Systems.,2011,NIPS
Michael Tangermann_Matthias Krauledat_Konrad Grzeska_Max Sagebaum_Benjamin Blankertz_Carmen Vidaurre_Klaus-Robert Müller,Playing Pinball with non-invasive BCI.,2008,NIPS
Sanjoy Dasgupta_Samory Kpotufe,Optimal rates for k-NN density and mode estimation.,2014,NIPS
Manuel Lopes_Tobias Lang 0001_Marc Toussaint_Pierre-Yves Oudeyer,Exploration in Model-based Reinforcement Learning by Empirically Estimating Learning Progress.,2012,NIPS
Ali Nouri_Michael L. Littman,Multi-resolution Exploration in Continuous Spaces.,2008,NIPS
Christoforos Christoforou_Paul Sajda_Lucas C. Parra,Second Order Bilinear Discriminant Analysis for single trial EEG analysis.,2007,NIPS
Frédéric Chazal_Ilaria Giulini_Bertrand Michel,Data driven estimation of Laplace-Beltrami operator.,2016,NIPS
Adrien Wohrer_Ranulfo Romo_Christian K. Machens,Linear readout from a neural population with partial correlation data.,2010,NIPS
Paul Valiant_Gregory Valiant,Estimating the Unseen: Improved Estimators for Entropy and other Properties.,2013,NIPS
Liangbei Xu_Mark A. Davenport,Dynamic matrix recovery from incomplete observations under an exact low-rank constraint.,2016,NIPS
Xaq Pitkow_Yashar Ahmadian_Kenneth D. Miller,Learning unbelievable probabilities.,2011,NIPS
Aman Sinha_John C. Duchi,Learning Kernels with Random Features.,2016,NIPS
Kevin Roth_Aurélien Lucchi_Sebastian Nowozin_Thomas Hofmann,Stabilizing Training of Generative Adversarial Networks through Regularization.,2017,NIPS
Ziteng Wang_Kai Fan_Jiaqi Zhang_Liwei Wang 0001,Efficient Algorithm for Privately Releasing Smooth Queries.,2013,NIPS
Michalis K. Titsias_Miguel Lázaro-Gredilla,Variational Inference for Mahalanobis Distance Metrics in Gaussian Process Regression.,2013,NIPS
Peter Kairouz_Sewoong Oh_Pramod Viswanath,Secure Multi-party Differential Privacy.,2015,NIPS
Xiang Wu_Ruiqi Guo_Ananda Theertha Suresh_Sanjiv Kumar_Daniel N. Holtmann-Rice_David Simcha_Felix X. Yu,Multiscale Quantization for Fast Similarity Search.,2017,NIPS
Xiaohan Wei_Stanislav Minsker,Estimation of the covariance structure of heavy-tailed distributions.,2017,NIPS
Joseph Suarez,Language Modeling with Recurrent Highway Hypernetworks.,2017,NIPS
Vinay Jethava_Anders Martinsson_Chiranjib Bhattacharyya_Devdatt P. Dubhashi,"The Lovasz $\\theta$ function SVMs and finding large dense subgraphs".,2012,NIPS
Bowei Yan_Mingzhang Yin_Purnamrita Sarkar,Convergence of Gradient EM on Multi-component Mixture of Gaussians.,2017,NIPS
Abbas Edalat,Capacity of strong attractor patterns to model behavioural and cognitive prototypes.,2013,NIPS
Christophe Schülke_Francesco Caltagirone_Florent Krzakala_Lenka Zdeborová,Blind Calibration in Compressed Sensing using Message Passing Algorithms.,2013,NIPS
Robert V. Lindsey_Mohammad Khajah_Michael C. Mozer,Automatic Discovery of Cognitive Skills to Improve the Prediction of Student Learning.,2014,NIPS
Hongjing Lu_Tungyou Lin_Alan L. F. Lee_Luminita A. Vese_Alan L. Yuille,Functional form of motion priors in human motion perception.,2010,NIPS
Yuya Yoshikawa_Tomoharu Iwata_Hiroshi Sawada_Takeshi Yamada,Cross-Domain Matching for Bag-of-Words Data via Kernel Embeddings of Latent Distributions.,2015,NIPS
Shay B. Cohen_Noah A. Smith,Empirical Risk Minimization with Approximations of Probabilistic Grammars.,2010,NIPS
Shantanu Jain_Martha White_Predrag Radivojac,Estimating the class prior and posterior from noisy positives and unlabeled data.,2016,NIPS
Dor Kedem_Stephen Tyree_Kilian Q. Weinberger_Fei Sha_Gert R. G. Lanckriet,Non-linear Metric Learning.,2012,NIPS
Zhe Gan_Liqun Chen_Weiyao Wang_Yunchen Pu_Yizhe Zhang_Hao Liu_Chunyuan Li_Lawrence Carin,Triangle Generative Adversarial Networks.,2017,NIPS
Indraneel Mukherjee_David M. Blei,Relative Performance Guarantees for Approximate Inference in Latent Dirichlet Allocation.,2008,NIPS
Anne S. Hsu_Thomas L. Griffiths,Differential Use of Implicit Negative Evidence in Generative and Discriminative Language Learning.,2009,NIPS
Karin C. Knudson_Jonathan W. Pillow,Spike train entropy-rate estimation using hierarchical Dirichlet process priors.,2013,NIPS
Philip Bachman_Doina Precup,Data Generation as Sequential Decision Making.,2015,NIPS
Andrew Gordon Wilson_Zhiting Hu_Ruslan Salakhutdinov_Eric P. Xing,Stochastic Variational Deep Kernel Learning.,2016,NIPS
Eric K. Garcia_Maya R. Gupta,Lattice Regression.,2009,NIPS
Songbai Yan_Chicheng Zhang,Revisiting Perceptron: Efficient and Label-Optimal Learning of Halfspaces.,2017,NIPS
Alexander Rakhlin_Karthik Sridharan_Ambuj Tewari,Online Learning: Random Averages Combinatorial Parameters and Learnability.,2010,NIPS
Sashank J. Reddi_Suvrit Sra_Barnabás Póczos_Alexander J. Smola,Proximal Stochastic Methods for Nonsmooth Nonconvex Finite-Sum Optimization.,2016,NIPS
Jason Weston,Dialog-based Language Learning.,2016,NIPS
Jamie Hayes_George Danezis,Generating steganographic images via adversarial training.,2017,NIPS
Akshay Krishnamurthy_Alekh Agarwal_John Langford,PAC Reinforcement Learning with Rich Observations.,2016,NIPS
Piyush Rai_Changwei Hu_Ricardo Henao_Lawrence Carin,Large-Scale Bayesian Multi-Label Learning via Topic-Based Label Embeddings.,2015,NIPS
Kosuke Fukumasu_Koji Eguchi_Eric P. Xing,Symmetric Correspondence Topic Models for Multilingual Text Analysis.,2012,NIPS
Quoc V. Le_Jiquan Ngiam_Zhenghao Chen_Daniel Jin hao Chia_Pang Wei Koh_Andrew Y. Ng,Tiled convolutional neural networks.,2010,NIPS
Ramya Korlakai Vinayak_Samet Oymak_Babak Hassibi,Graph Clustering With Missing Data: Convex Algorithms and Analysis.,2014,NIPS
Ehsan Adeli-Mosabbeb_Kim-Han Thung_Le An_Feng Shi_Dinggang Shen,Robust Feature-Sample Linear Discriminant Analysis for Brain Disorders Diagnosis.,2015,NIPS
Han Liu_Fang Han_Cun-Hui Zhang,Transelliptical Graphical Models.,2012,NIPS
Loc Bui_Ramesh Johari_Shie Mannor,Committing Bandits.,2011,NIPS
Prateek Jain 0002_Ambuj Tewari,Alternating Minimization for Regression Problems with Vector-valued Outputs.,2015,NIPS
Brian Kulis_Trevor Darrell,Learning to Hash with Binary Reconstructive Embeddings.,2009,NIPS
William Brendel_Sinisa Todorovic,Segmentation as Maximum-Weight Independent Set.,2010,NIPS
Jinzhuo Wang_Wenmin Wang_Xiongtao Chen_Ronggang Wang_Wen Gao 0001,Deep Alternative Neural Network: Exploring Contexts as Early as Possible for Action Recognition.,2016,NIPS
Chi Jin_Liwei Wang 0001,Dimensionality Dependent PAC-Bayes Margin Bound.,2012,NIPS
Slobodan Mitrovic_Ilija Bogunovic_Ashkan Norouzi-Fard_Jakub Tarnawski_Volkan Cevher,Streaming Robust Submodular Maximization: A Partitioned Thresholding Approach.,2017,NIPS
Xinggang Wang_Xiang Bai_Xingwei Yang_Wenyu Liu_Longin Jan Latecki,Maximal Cliques that Satisfy Hard Constraints with Application to Deformable Object Model Learning.,2011,NIPS
Ko-Jen Hsiao_Kevin S. Xu 0001_Jeff Calder_Alfred O. Hero III,Multi-criteria Anomaly Detection using Pareto Depth Analysis.,2012,NIPS
Shalabh Bhatnagar_Richard S. Sutton_Mohammad Ghavamzadeh_Mark Lee,Incremental Natural Actor-Critic Algorithms.,2007,NIPS
Nishant A. Mehta_Dongryeol Lee_Alexander G. Gray,Minimax Multi-Task Learning and a Generalized Loss-Compositional Paradigm for MTL.,2012,NIPS
Youngmin Cho_Lawrence K. Saul,Kernel Methods for Deep Learning.,2009,NIPS
Brenden M. Lake_Ruslan Salakhutdinov_Joshua B. Tenenbaum,One-shot learning by inverting a compositional causal process.,2013,NIPS
Jean Honorio_Luis E. Ortiz_Dimitris Samaras_Nikos Paragios_Rita Z. Goldstein,Sparse and Locally Constant Gaussian Graphical Models.,2009,NIPS
Sahar Akram_Jonathan Z. Simon_Shihab A. Shamma_Behtash Babadi,A State-Space Model for Decoding Auditory Attentional Modulation from MEG in a Competing-Speaker Environment.,2014,NIPS
Jacob D. Abernethy_Jun-Kun Wang,On Frank-Wolfe and Equilibrium Computation.,2017,NIPS
Yaoliang Yu_Min Yang_Linli Xu_Martha White_Dale Schuurmans,Relaxed Clipping: A Global Training Method for Robust Regression and Classification.,2010,NIPS
Rizal Fathony_Mohammad Ali Bashiri_Brian D. Ziebart,Adversarial Surrogate Losses for Ordinal Regression.,2017,NIPS
Xinhua Zhang_Le Song_Arthur Gretton_Alexander J. Smola,Kernel Measures of Independence for non-iid Data.,2008,NIPS
Pablo M. Olmos_Luis Salamanca_Juan José Murillo-Fuentes_Fernando Pérez-Cruz,An Application of Tree-Structured Expectation Propagation for Channel Decoding.,2011,NIPS
Erik M. Lindgren_Shanshan Wu_Alexandros G. Dimakis,Leveraging Sparsity for Efficient Submodular Data Summarization.,2016,NIPS
David A. McAllester_Joseph Keshet,Generalization Bounds and Consistency for Latent Structural Probit and Ramp Loss.,2011,NIPS
Jonas Mueller_Tommi S. Jaakkola,Principal Differences Analysis: Interpretable Characterization of Differences between Distributions.,2015,NIPS
Guy Shani_Christopher Meek,Improving Existing Fault Recovery Policies.,2009,NIPS
Luigi Acerbi_Wei Ji,Practical Bayesian Optimization for Model Fitting with Bayesian Adaptive Direct Search.,2017,NIPS
James Robert Lloyd_Peter Orbanz_Zoubin Ghahramani_Daniel M. Roy,Random function priors for exchangeable arrays with applications to graphs and relational data.,2012,NIPS
Gautam Kunapuli_Richard Maclin_Jude W. Shavlik,Advice Refinement in Knowledge-Based SVMs.,2011,NIPS
Andrew McHutchon_Carl Edward Rasmussen,Gaussian Process Training with Input Noise.,2011,NIPS
Arya Mazumdar_Ankit Singh Rawat,Associative Memory via a Sparse Recovery Model.,2015,NIPS
Ricardo Silveira Cabral_Fernando De la Torre_João Paulo Costeira_Alexandre Bernardino,Matrix Completion for Multi-label Image Classification.,2011,NIPS
Alekh Agarwal_Alina Beygelzimer_Daniel J. Hsu_John Langford_Matus J. Telgarsky,Scalable Non-linear Learning with Adaptive Polynomial Expansions.,2014,NIPS
Ping Li 0001_Christopher J. C. Burges_Qiang Wu,McRank: Learning to Rank Using Multiple Classification and Gradient Boosting.,2007,NIPS
Andrea Giovannucci_Johannes Friedrich_Matt Kaufman_Anne Churchland_Dmitri Chklovskii_Liam Paninski_Eftychios A. Pnevmatikakis,OnACID: Online Analysis of Calcium Imaging Data in Real Time.,2017,NIPS
Michael Kamp_Mario Boley_Olana Missura_Thomas Gärtner,Effective Parallelisation for Machine Learning.,2017,NIPS
Amir-massoud Farahmand_Sepideh Pourazarm_Daniel Nikovski,Random Projection Filter Bank for Time Series Data.,2017,NIPS
Arthur Gretton_Bharath K. Sriperumbudur_Dino Sejdinovic_Heiko Strathmann_Sivaraman Balakrishnan_Massimiliano Pontil_Kenji Fukumizu,Optimal kernel choice for large-scale two-sample tests.,2012,NIPS
Zhihua Zhang_Michael I. Jordan_Dit-Yan Yeung,Posterior Consistency of the Silverman g-prior in Bayesian Model Choice.,2008,NIPS
Isabel Valera_Zoubin Ghahramani,General Table Completion using a Bayesian Nonparametric Model.,2014,NIPS
Yingyu Liang_Maria-Florina Balcan_Vandana Kanchanapally_David P. Woodruff,Improved Distributed Principal Component Analysis.,2014,NIPS
Zakria Hussain_John Shawe-Taylor,Theory of matching pursuit.,2008,NIPS
Parikshit Ram_Alexander G. Gray,Which Space Partitioning Tree to Use for Search?,2013,NIPS
Chengxu Zhuang_Jonas Kubilius_Mitra J. Z. Hartmann_Daniel L. Yamins,Toward Goal-Driven Neural Network Models for the Rodent Whisker-Trigeminal System.,2017,NIPS
Mingyuan Zhou_Lawrence Carin,Augment-and-Conquer Negative Binomial Processes.,2012,NIPS
Pan Zhang,Robust Spectral Detection of Global Structures in the Data by Learning a Regularization.,2016,NIPS
Cynthia Dwork_Vitaly Feldman_Moritz Hardt_Toniann Pitassi_Omer Reingold_Aaron Roth,Generalization in Adaptive Data Analysis and Holdout Reuse.,2015,NIPS
Mark Palatucci_Dean Pomerleau_Geoffrey E. Hinton_Tom M. Mitchell,Zero-shot Learning with Semantic Output Codes.,2009,NIPS
Daniel Sheldon_M. A. Saleh Elmohamed_Dexter Kozen,Collective Inference on Markov Models for Modeling Bird Migration.,2007,NIPS
Kacper Chwialkowski_Aaditya Ramdas_Dino Sejdinovic_Arthur Gretton,Fast Two-Sample Testing with Analytic Representations of Probability Measures.,2015,NIPS
Roger B. Grosse_Siddharth Ancha_Daniel M. Roy,Measuring the reliability of MCMC inference with bidirectional Monte Carlo.,2016,NIPS
Oluwasanmi Koyejo_Nagarajan Natarajan_Pradeep Ravikumar_Inderjit S. Dhillon,Consistent Multilabel Classification.,2015,NIPS
Jian Zhang_Alexander G. Schwing_Raquel Urtasun,Message Passing Inference for Large Scale Graphical Models with High Order Potentials.,2014,NIPS
Bilal Piot_Matthieu Geist_Olivier Pietquin,Difference of Convex Functions Programming for Reinforcement Learning.,2014,NIPS
Yu-Ying Liu_Shuang Li_Fuxin Li_Le Song_James M. Rehg,Efficient Learning of Continuous-Time Hidden Markov Models for Disease Progression.,2015,NIPS
Gideon Mann_Ryan T. McDonald_Mehryar Mohri_Nathan Silberman_Dan Walker,Efficient Large-Scale Distributed Training of Conditional Maximum Entropy Models.,2009,NIPS
Gilles Blanchard_Nicole Krämer,Optimal learning rates for Kernel Conjugate Gradient regression.,2010,NIPS
Christian Walder_Bernhard Schölkopf,Diffeomorphic Dimensionality Reduction.,2008,NIPS
Amit Daniely_Roy Frostig_Yoram Singer,Toward Deeper Understanding of Neural Networks: The Power of Initialization and a Dual View on Expressivity.,2016,NIPS
Yisong Yue_Carlos Guestrin,Linear Submodular Bandits and their Application to Diversified Retrieval.,2011,NIPS
Marcel Nonnenmacher_Srinivas C. Turaga_Jakob H. Macke,Extracting low-dimensional dynamics from multiple large-scale neural population recordings by learning to predict correlations.,2017,NIPS
Xiangru Lian_Ce Zhang_Huan Zhang_Cho-Jui Hsieh_Wei Zhang_Ji Liu,Can Decentralized Algorithms Outperform Centralized Algorithms? A Case Study for Decentralized Parallel Stochastic Gradient Descent.,2017,NIPS
M. Sevi Baltaoglu_Lang Tong_Qing Zhao,Online Learning of Optimal Bidding Strategy in Repeated Multi-Commodity Auctions.,2017,NIPS
Mikhail Yurochkin_XuanLong Nguyen_Nikolaos Vasiloglou,Multi-way Interacting Regression via Factorization Machines.,2017,NIPS
Idan Schwartz_Alexander G. Schwing_Tamir Hazan,High-Order Attention Models for Visual Question Answering.,2017,NIPS
Aaron Defazio_Tibério S. Caetano,A Convex Formulation for Learning Scale-Free Networks via Submodular Relaxation.,2012,NIPS
Mathieu Blondel_Akinori Fujino_Naonori Ueda_Masakazu Ishihata,Higher-Order Factorization Machines.,2016,NIPS
Jun Han_Qiang Liu,Bootstrap Model Aggregation for Distributed Statistical Learning.,2016,NIPS
Alekh Agarwal_Peter L. Bartlett_Pradeep Ravikumar_Martin J. Wainwright,Information-theoretic lower bounds on the oracle complexity of convex optimization.,2009,NIPS
Tamara Broderick_Nicholas Boyd_Andre Wibisono_Ashia C. Wilson_Michael I. Jordan,Streaming Variational Bayes.,2013,NIPS
Qirong Ho_Junming Yin_Eric P. Xing,On Triangular versus Edge Representations --- Towards Scalable Modeling of Networks.,2012,NIPS
Reshad Hosseini_Suvrit Sra,Matrix Manifold Optimization for Gaussian Mixtures.,2015,NIPS
Christina E. Lee_Asuman E. Ozdaglar_Devavrat Shah,Computing the Stationary Distribution Locally.,2013,NIPS
Alexandros Georgogiannis,Robust k-means: a Theoretical Revisit.,2016,NIPS
Mehmet K. Muezzinoglu_Alexander Vergara_Ramón Huerta_Thomas Nowotny_Nikolai F. Rulkov_Henry D. I. Abarbanel_Allen I. Selverston_Mikhail I. Rabinovich,Artificial Olfactory Brain for Mixture Identification.,2008,NIPS
Yizhe Zhang_Xiangyu Wang_Changyou Chen_Ricardo Henao_Kai Fan_Lawrence Carin,Towards Unifying Hamiltonian Monte Carlo and Slice Sampling.,2016,NIPS
Patrick O. Perry_Michael W. Mahoney,Regularized Laplacian Estimation and Fast Eigenvector Approximation.,2011,NIPS
Corinna Cortes_Marius Kloft_Mehryar Mohri,Learning Kernels Using Local Rademacher Complexity.,2013,NIPS
Soheil Feizi_Hamid Javadi_David Tse,Tensor Biclustering.,2017,NIPS
Jeffrey Pennington_Pratik Worah,Nonlinear random matrix theory for deep learning.,2017,NIPS
Gabriel Parra_Felipe Tobar,Spectral Mixture Kernels for Multi-Output Gaussian Processes.,2017,NIPS
Yang Wang 0003_Gholamreza Haffari_Shaojun Wang_Greg Mori,A Rate Distortion Approach for Semi-Supervised Conditional Random Fields.,2009,NIPS
Wei Sun_Zhaoran Wang_Han Liu_Guang Cheng,Non-convex Statistical Optimization for Sparse Tensor Graphical Model.,2015,NIPS
Sohail Bahmani_Justin K. Romberg,Efficient Compressive Phase Retrieval with Constrained Sensing Vectors.,2015,NIPS
Rupesh Kumar Srivastava_Jonathan Masci_Sohrob Kazerounian_Faustino J. Gomez_Jürgen Schmidhuber,Compete to Compute.,2013,NIPS
Laetitia Papaxanthos_Felipe Llinares-López_Dean A. Bodenham_Karsten M. Borgwardt,Finding significant combinations of features in the presence of categorical covariates.,2016,NIPS
Nilesh N. Dalvi_Aditya G. Parameswaran_Vibhor Rastogi,Minimizing Uncertainty in Pipelines.,2012,NIPS
Ke Jiang_Brian Kulis_Michael I. Jordan,Small-Variance Asymptotics for Exponential Family Dirichlet Process Mixture Models.,2012,NIPS
Shengjia Zhao_Enze Zhou_Ashish Sabharwal_Stefano Ermon,Adaptive Concentration Inequalities for Sequential Decision Problems.,2016,NIPS
