author,title,year,conference
Michael T. Cox_Zohreh Alavi_Dustin Dannenhauer_Vahid Eyorokon_Hector Muñoz-Avila_Don Perlis,MIDCA: A Metacognitive Integrated Dual-Cycle Architecture for Self-Regulated Autonomy.,2016,AAAI
Cem Tekin_Jinsung Yoon_Mihaela van der Schaar,Adaptive Ensemble Learning with Confidence Bounds for Personalized Diagnosis.,2016,AAAI
Joohyung Lee_Vladimir Lifschitz_Ravi Palla,A Reductive Semantics for Counting and Choice in Answer Set Programming.,2008,AAAI
Sven Seuken_Ruggiero Cavallo_David C. Parkes,Partially Synchronized DEC-MDPs in Dynamic Mechanism Design.,2008,AAAI
Taleb Alashkar_Songyao Jiang_Shuyang Wang_Yun Fu,Examples-Rules Guided Deep Neural Network for Makeup Recommendation.,2017,AAAI
Shandian Zhe_Zenglin Xu_Yuan Qi_Peng Yu,Sparse Bayesian Multiview Learning for Simultaneous Association Discovery and Diagnosis of Alzheimer's Disease.,2015,AAAI
Philip Bachman_Doina Precup,Learning Compact Representations of Time-Varying Processes.,2011,AAAI
Asaf Frieder_Raz Lin_Sarit Kraus,Agent-Human Coordination with Communication Costs Under Uncertainty.,2012,AAAI
Benjamin M. Gordon,Developing a Language for Spoken Programming.,2011,AAAI
Ariel Felner_Carsten Moldenhauer_Nathan R. Sturtevant_Jonathan Schaeffer,Single-Frontier Bidirectional Search.,2010,AAAI
Saket Joshi_Roni Khardon_Prasad Tadepalli_Alan Fern_Aswin Raghavan,Relational Markov Decision Processes: Promise and Prospects.,2013,AAAI
Min Yang_Wenting Tu_Jingxuan Wang_Fei Xu_Xiaojun Chen 0004,Attention Based LSTM for Target Dependent Sentiment Classification.,2017,AAAI
Ying Xie_Chris H. Q. Ding_Yihong Gong_Zongze Wu,Rank Ordering Constraints Elimination with Application for Kernel Learning.,2017,AAAI
Anton Milan_Seyed Hamid Rezatofighi_Anthony R. Dick_Ian D. Reid 0001_Konrad Schindler,Online Multi-Target Tracking Using Recurrent Neural Networks.,2017,AAAI
Mahboobeh Parsapoor_John Brooke_Bertil Svensson,A New Computational Intelligence Model for Long-Term Prediction of Solar and Geomagnetic Activity.,2015,AAAI
Dawei Liu_Yuanzhuo Wang_Yantao Jia_Jingyuan Li_Zhihua Yu,LSDH: A Hashing Approach for Large-Scale Link Prediction in Microblogs.,2014,AAAI
Lilyana Mihalkova_Tuyen N. Huynh_Raymond J. Mooney,Mapping and Revising Markov Logic Networks for Transfer Learning.,2007,AAAI
Cai-Zhi Tang_Min-Ling Zhang,Confidence-Rated Discriminative Partial Label Learning.,2017,AAAI
Roman V. Yampolskiy,Taxonomy of Pathways to Dangerous Artificial Intelligence.,2016,AAAI
Naoto Ohsaka_Takuya Akiba_Yuichi Yoshida_Ken-ichi Kawarabayashi,Fast and Accurate Influence Maximization on Large Networks with Pruned Monte-Carlo Simulations.,2014,AAAI
Zhiqiang Tao_Hongfu Liu_Yun Fu 0001,Simultaneous Clustering and Ensemble.,2017,AAAI
Kyosuke Nishida_Kugatsu Sadamitsu_Ryuichiro Higashinaka_Yoshihiro Matsuo,Understanding the Semantic Structures of Tables with a Hybrid Deep Neural Network Architecture.,2017,AAAI
Sinno Jialin Pan_James T. Kwok_Qiang Yang 0001,Transfer Learning via Dimensionality Reduction.,2008,AAAI
Han-Jia Ye_De-Chuan Zhan_Yuan Jiang,Instance Specific Metric Subspace Learning: A Bayesian Approach.,2016,AAAI
Andrea Calì_Georg Gottlob_Andreas Pieris,New Expressive Languages for Ontological Query Answering.,2011,AAAI
Kai-Wei Chang_Shyam Upadhyay_Gourab Kundu_Dan Roth,Structural Learning with Amortized Inference.,2015,AAAI
Vijay Menon_Kate Larson,Reinstating Combinatorial Protections for Manipulation and Bribery in Single-Peaked and Nearly Single-Peaked Electorates.,2016,AAAI
Yang Yang_Longyin Wen_Siwei Lyu_Stan Z. Li,Unsupervised Learning of Multi-Level Descriptors for Person Re-Identification.,2017,AAAI
Na Dai,Building Contextual Anchor Text Representation using Graph Regularization.,2012,AAAI
Ilija Ilievski_Taimoor Akhtar_Jiashi Feng_Christine Annette Shoemaker,Efficient Hyperparameter Optimization for Deep Learning Algorithms Using Deterministic RBF Surrogates.,2017,AAAI
