author,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,total
Binh-Son Hua,0,0,0,0,0,0,0,0,0,1,0,1
Stephen William Gilroy,0,0,0,0,0,0,1,0,0,0,0,1
Sen Song,0,0,0,0,0,0,0,1,0,0,0,1
Shai Silberstein,0,0,0,0,0,0,1,0,0,0,0,1
Jie Wu 0001,1,0,0,0,0,0,0,0,0,0,0,1
Michal Zacharias,0,0,0,0,0,0,1,0,0,0,0,1
Jia-Ching Ying,0,0,0,0,0,0,0,0,1,0,0,1
Sainbayar Sukhbaatar,0,0,0,0,0,0,0,0,1,1,0,2
Mohammad Raihanul Islam,0,0,0,0,0,0,0,0,0,1,0,1
Lipika Dey,0,0,0,0,1,0,0,0,0,1,0,2
Ydo Wexler,0,1,0,0,0,0,0,0,0,0,0,1
Boian Kolev,0,0,0,0,0,0,0,0,1,0,0,1
Yi Xu,0,1,1,1,0,0,0,0,1,1,5,10
Rahman Mukras,1,0,0,0,0,0,0,0,0,0,0,1
Rachid Guerraoui,0,0,0,0,0,0,0,0,0,0,3,3
Chunping Li,0,1,0,0,0,0,0,0,1,0,0,2
Georgios Piliouras,0,0,0,0,0,0,0,0,0,0,1,1
Yiying Tong,0,0,0,0,0,0,0,0,1,1,0,2
Feng Yan 0003,0,0,1,0,2,0,0,0,0,0,0,3
ChengXiang Zhai,6,3,1,2,7,2,1,3,3,2,4,34
Feng Yan 0001,0,0,0,0,0,0,0,0,1,0,0,1
Maxime Oquab,0,0,0,0,0,0,0,1,1,0,0,2
Ryo Asaoka,0,0,0,0,0,0,0,0,1,0,1,2
Emanuel Todorov,0,0,1,1,0,0,0,0,1,0,1,4
Alex C. Kot,0,0,0,0,0,0,0,0,0,0,1,1
Lei Qin,0,0,0,0,0,0,0,0,0,1,1,2
Andrés Abeliuk,0,0,0,0,0,0,0,0,1,2,0,3
Shiliang Pu,0,0,0,0,0,0,0,0,0,0,1,1
Demir Gokalp,1,0,0,0,0,0,0,0,0,0,0,1
Jie Song 0006,0,0,0,0,0,0,0,0,0,0,1,1
Jian Pu,0,0,0,0,0,0,1,0,0,0,0,1
Huawei Shen,0,0,0,0,1,0,0,1,1,1,3,7
Anna Volokitin,0,0,0,0,0,0,0,0,0,2,1,3
Xiuzi Ye,0,0,0,0,0,0,0,0,2,1,0,3
Richard E. Turner,2,0,1,0,1,0,0,1,3,1,3,12
Xiong Xiong,0,0,0,0,1,0,0,0,0,0,0,1
Li Fei-Fei,0,0,0,0,0,0,0,0,0,5,9,14
Mengqiu Wang,1,1,0,1,0,0,1,0,0,0,0,4
Ritish Goyal,0,0,0,0,0,0,0,0,0,1,0,1
Eugenia Giraudy,0,0,0,0,0,0,0,0,0,1,0,1
Ghim-Eng Yap,1,0,0,0,0,0,0,0,0,0,0,1
Xinhua Zhang,0,2,0,1,1,2,4,2,1,1,2,16
Eric Zeghers,0,1,0,0,0,0,0,0,0,0,0,1
Wallace E. Lawson,0,0,0,1,0,0,0,1,1,1,1,5
Julian Fiérrez,0,0,0,1,0,0,0,0,0,1,0,2
Yishay Mansour,2,1,3,3,0,1,2,0,3,3,6,24
Sridharakumar Narasimhan,0,0,0,0,0,0,0,0,0,1,0,1
Yaad Blum,0,1,0,0,0,0,0,0,0,0,0,1
Yves Deville,0,1,0,0,0,0,0,0,0,0,1,2
Zhixing Tan,0,0,0,0,0,0,0,0,0,0,1,1
Ehsan Abbasnejad,0,0,0,0,0,1,2,0,2,0,0,5
Xianpei Han,0,0,0,0,1,0,0,0,0,2,1,4
Michael Chiang,0,0,0,0,0,1,0,0,0,0,0,1
Rajesh Parekh,0,0,0,0,0,0,0,0,0,1,1,2
Lou Boves,1,0,0,0,0,0,0,0,0,0,0,1
Gaocheng Bai,0,0,0,0,0,0,0,0,0,1,0,1
Yves Grandvalet,1,1,0,0,0,0,0,1,0,0,0,3
Greg Tronel,0,0,0,0,0,0,0,0,0,1,0,1
Derek G. Bridge,0,0,0,0,0,0,1,0,0,0,0,1
Yi Jin,1,1,0,0,0,0,0,0,0,0,0,2
Augustinus Laude,0,0,0,0,0,0,0,0,1,0,0,1
Cyril Leung,0,0,0,0,0,0,1,0,1,3,2,7
Yuting Chen,0,0,0,0,0,0,0,0,0,1,0,1
Huayi Li,0,0,0,0,0,0,0,0,1,0,0,1
Tatsuya Hongo,0,0,0,0,0,0,1,0,0,0,0,1
José Luis Vicedo González,0,0,0,0,0,0,2,0,0,0,0,2
Mike Barley,0,0,0,0,0,0,0,1,0,1,1,3
George Konidaris,1,1,2,1,3,0,1,2,2,3,4,20
Eric K. Ringger,0,1,0,0,0,0,0,0,0,0,0,1
Michael P. McGuire,0,1,0,0,0,0,0,0,0,0,0,1
Boon-Ping Lim,0,0,0,0,0,0,0,0,1,0,0,1
José María Gómez Hidalgo,1,0,0,0,0,0,0,0,0,0,0,1
Anant Raj,0,0,0,0,0,0,0,1,0,0,1,2
Matthew C. Dirks,0,0,0,0,0,0,0,1,0,0,0,1
Youngbae Hwang,1,0,0,0,0,0,0,1,0,1,0,3
Juncheng Liu,0,0,0,0,0,0,0,0,0,0,1,1
Jialu Liu,0,0,0,1,0,0,4,1,0,0,0,6
Elena Eneva,0,0,0,0,0,0,0,0,1,0,0,1
Brian Eoff,0,1,0,0,1,0,0,0,0,0,0,2
Mayu Sakurada,0,0,0,0,0,0,0,1,0,0,0,1
Lorenzo De Stefani,0,0,0,0,0,0,0,0,0,2,0,2
Micha Feigin,0,1,0,0,0,0,0,0,0,0,0,1
Yong Rui,1,2,0,0,1,1,1,5,2,7,1,21
Hasan Poonawala,0,0,0,0,0,0,0,0,0,1,0,1
Balazs Kovacs,0,0,0,0,0,0,0,0,0,0,1,1
Noor Aldeen Alawad,0,0,0,0,0,0,0,0,0,1,0,1
Andrew Potter,0,0,0,0,0,0,0,0,0,0,1,1
Samira Samadi,0,0,0,0,0,0,0,1,0,0,0,1
Ashesh Mahidadia,0,0,0,0,0,0,0,1,0,0,0,1
Zhichao Chen,0,1,0,0,0,0,0,0,0,0,0,1
Nianyi Li,0,0,0,0,0,0,0,1,1,1,1,4
Marcin Marszalek,2,1,1,0,0,0,0,0,0,0,0,4
Harm van Seijen,0,0,0,0,0,0,0,0,0,0,1,1
Kathryn S. McKinley,0,0,0,1,0,0,0,0,0,0,0,1
Ahmed Shalaby,0,0,0,0,1,0,0,0,1,0,0,2
Hin-Shun Chung,0,1,0,0,0,0,0,0,0,0,0,1
Shigeru Maya,0,0,0,0,0,0,0,0,1,0,0,1
Qingguo Wang,0,0,1,1,0,0,0,0,0,0,0,2
Min Gong,0,0,0,0,0,0,0,0,1,0,0,1
Edouard Pauwels,0,0,0,0,0,0,0,0,0,1,0,1
Kenneth Marino,0,0,0,0,0,0,0,0,0,0,1,1
Zhao Luo,0,0,0,0,0,0,0,0,0,0,1,1
Yoonsik Tak,0,0,0,0,0,0,0,0,0,0,1,1
Faria Nassiri Mofakham,0,0,0,0,0,0,0,0,0,0,1,1
R. T. Pramod,0,0,0,0,0,0,0,0,0,1,0,1
Pavel Dvorak,0,0,0,0,0,0,0,0,0,0,1,1
Sudarshan Lamkhede,0,0,0,0,0,0,1,0,0,0,0,1
Daan Bloembergen,0,0,0,0,0,0,0,1,0,0,0,1
Xueying Qin,1,0,0,1,0,0,0,0,0,0,1,3
Keith Sullivan,0,0,0,0,1,0,1,0,1,1,1,5
Chris Curry,1,0,0,0,0,0,0,0,0,0,0,1
Kratarth Goel,0,0,0,0,0,0,0,0,1,1,0,2
Tal Wagner,0,0,0,0,0,1,0,0,0,0,2,3
Yinghui Xu,0,0,0,0,0,0,0,0,0,0,3,3
Xueying Qiu,0,0,0,0,0,0,0,0,0,1,0,1
Roberto Confalonieri 0001,0,0,0,0,0,0,0,0,1,0,0,1
Guillaume Alain,0,0,0,0,0,0,1,0,0,0,0,1
Ana Cristina Murillo,0,0,0,0,0,1,0,0,0,0,0,1
Sam S. Tsai,0,0,1,2,1,0,0,0,0,0,0,4
Lifan Su,0,0,0,0,0,0,0,0,0,0,1,1
Oliver Bimber,0,0,0,1,0,0,0,0,0,0,0,1
Gary B. Huang,0,1,0,2,0,2,0,0,0,0,0,5
Tu-Hoa Pham,0,0,0,0,0,0,0,0,1,0,0,1
Bradley Atcheson,0,0,1,0,0,0,0,0,0,0,0,1
Robert Pierce,0,0,0,0,0,0,1,0,0,0,0,1
Chunshui Zhao,0,0,0,0,0,0,0,0,0,0,1,1
Kurt D. Bollacker,1,0,0,0,0,0,0,0,0,0,0,1
Tengjiao Wang,0,0,1,0,0,0,0,0,0,0,1,2
Václav Hlavác,1,1,0,0,0,0,0,0,0,0,0,2
Daniel Kang,0,0,0,0,0,0,0,1,0,0,0,1
Christoffer Menk,0,0,0,1,0,0,0,0,0,0,0,1
Jixu Chen,1,0,2,0,1,0,0,0,0,0,0,4
Terrance Swift,0,0,0,0,0,0,1,0,0,0,0,1
Zhe Cao,0,0,0,0,0,0,0,0,0,0,1,1
Christopher K. I. Williams,1,1,0,0,0,1,0,0,0,0,0,3
Elad Shahar,0,0,1,0,0,0,0,0,0,0,0,1
Genevera I. Allen,0,0,0,0,0,1,2,0,0,0,0,3
Saad Alqithami,0,0,0,0,0,0,0,1,1,1,0,3
Flavia Moser,1,0,0,0,0,0,0,0,0,0,0,1
Milind Tambe,3,3,1,2,5,5,5,6,9,9,3,51
Sujian Li,0,0,0,0,0,1,1,0,2,2,4,10
Sui Huang,0,0,0,0,0,1,0,0,0,0,0,1
Changqing Zhang,0,0,0,0,0,0,0,0,1,2,2,5
Dirk H. J. Poot,0,0,0,0,0,0,0,0,0,1,0,1
Jordi Sanchez-Riera,0,0,0,1,1,0,0,0,0,0,0,2
Yolanda Gil,1,1,0,0,0,0,0,0,0,1,1,4
Tamir Hazan,1,1,0,2,1,2,2,1,0,1,3,14
Yehuda Naveh,0,0,0,0,0,0,1,0,0,0,0,1
Shamsuddin N. Ladha,0,0,0,0,1,0,0,0,0,0,0,1
Anthony R. Dick,0,0,0,0,0,1,1,0,1,3,4,10
Lora Weiss,0,0,0,0,1,0,1,0,0,0,0,2
Georgios Chalkiadakis,1,0,1,0,0,2,1,0,1,1,1,8
Maria Liakata,0,0,0,0,0,0,0,0,1,0,0,1
Robert T. Collins,3,3,2,1,0,1,3,0,0,1,0,14
Saulo M. R. Ricci,0,0,0,0,1,0,0,0,0,0,0,1
Rongjian Li,0,0,0,0,0,0,0,0,1,0,0,1
Tim Weyrich,0,1,0,0,1,0,0,0,0,0,0,2
Vignesh Jagadeesh,0,0,0,0,0,0,0,2,1,0,0,3
Anselm Grundhöfer,0,0,0,1,0,0,1,0,0,0,1,3
Jiyeoup Jeong,0,0,0,0,0,0,0,0,0,1,0,1
Jian Yang,0,1,0,0,0,0,0,1,1,1,2,6
Rosie Jones,3,0,1,1,1,0,0,1,0,0,0,7
Ganesh Ramakrishnan,0,0,2,0,0,1,0,0,0,2,1,6
Marcelo Nery dos Santos,0,0,0,0,0,0,0,0,0,1,0,1
Canasai Kruengkrai,0,0,0,0,0,0,0,0,0,0,1,1
Marijn J. H. Heule,0,0,0,0,0,0,0,0,0,0,2,2
Sungmin Eum,0,0,0,0,1,0,0,0,0,0,0,1
Gang Li,0,0,0,1,0,0,0,0,0,0,0,1
Christos Louizos,0,0,0,0,0,0,0,0,0,0,2,2
Patrick Harrington,0,0,0,0,0,0,0,1,0,0,0,1
Martin Franz,2,0,0,0,0,0,0,0,0,0,0,2
Mastane Achab,0,0,0,0,0,0,0,0,0,0,1,1
Thomas L. Griffiths,2,5,3,1,4,2,1,1,0,0,2,21
Tim Matthews,0,0,0,0,0,1,1,0,0,0,0,2
Alessandro Panella,0,0,0,0,0,0,1,0,0,1,0,2
Willem Waegeman,0,0,0,0,1,1,0,0,0,0,0,2
James Demmel,0,0,0,0,0,0,0,0,0,1,0,1
Suryakanth R. Gurudu,0,0,0,0,0,0,0,0,0,0,1,1
Aude Marzuoli,0,0,0,0,0,0,0,0,1,0,0,1
Michael Häfner,0,0,0,1,0,0,0,0,0,0,0,1
Wei Li,0,0,0,0,2,0,0,0,2,2,3,9
Chi-Hung Chi,0,0,0,1,0,0,0,0,1,0,0,2
J. C. Isaacs,0,0,0,0,1,0,0,0,0,0,0,1
Eric Dabellani,0,0,0,0,1,0,0,0,0,0,0,1
Kristan P. Gurton,0,0,0,0,0,0,0,0,0,1,0,1
Hsuan-Yueh Peng,0,0,0,0,0,0,0,0,0,1,0,1
Ramesh Jain,0,0,0,1,0,0,0,0,0,0,0,1
Andrés Goméz Emilsson,0,0,0,0,0,0,0,1,0,0,0,1
Jessie Barry,0,0,0,0,0,0,0,0,1,0,0,1
Andrew J. Saykin,0,0,0,0,0,2,0,0,0,0,1,3
Khaled Belahcène,0,0,0,0,0,0,0,0,0,0,1,1
Jan Rybak,0,0,0,0,0,0,0,1,0,0,0,1
Huanhuan Cao,0,1,1,0,0,0,0,0,0,0,0,2
Yen-Yu Ke,0,0,0,0,0,0,0,1,0,0,0,1
Yi Ren,0,0,0,0,0,0,0,0,0,0,1,1
Dan Cosley,0,1,0,0,0,0,0,0,0,0,0,1
Yinglong Zhang,0,0,0,0,0,0,0,1,1,1,0,3
Anastasios Roussos,0,0,0,0,0,0,1,0,0,2,0,3
Haitao Yu,0,0,0,0,0,0,0,0,0,1,0,1
Jay Bhatnagar,1,0,0,0,0,0,0,0,0,0,0,1
Jakub Pachocki,0,0,0,0,0,0,0,0,1,0,0,1
Thalaiyasingam Ajanthan,0,0,0,0,0,0,0,0,1,1,1,3
Saku Sugawara,0,0,0,0,0,0,0,0,0,0,1,1
Gregorij Kurillo,0,0,0,1,0,2,1,0,0,0,0,4
Jianbo Chen,0,0,0,0,0,0,0,0,0,0,2,2
Mikhail I. Rabinovich,0,1,0,0,0,0,0,0,0,0,0,1
Aws Albarghouthi,0,0,0,0,0,0,0,0,0,0,1,1
Philippe Guyenne,0,0,0,1,0,0,0,0,0,0,0,1
Zhiwei Li,0,0,0,2,2,1,1,0,0,2,1,9
Gideon S. Mann,0,1,0,0,0,0,0,0,0,0,0,1
Shane Legg,1,0,0,0,0,0,0,0,0,0,2,3
Özgür Kafali,0,0,0,0,0,0,0,0,0,0,1,1
Massimiliano Giacomin,0,0,1,0,0,0,0,1,2,2,0,6
Alex Francois-Nienaber,0,0,0,0,0,0,1,0,0,0,0,1
Marc Peter Deisenroth,0,0,0,0,0,1,1,0,0,1,3,6
Thea Turner,0,1,0,0,0,0,0,0,0,0,0,1
Lei Yu 0001,0,1,1,0,0,0,0,0,1,0,0,3
Dana S. Nau,1,0,1,0,0,0,1,0,1,0,0,4
Guangda Huzhang,0,0,0,0,0,0,0,0,0,0,2,2
Haoran Tang,0,0,0,0,0,0,0,0,0,0,1,1
Xinming Ou,0,0,0,0,0,0,0,0,0,0,1,1
Yejun Wu,0,1,0,0,0,0,0,0,0,0,0,1
Alejandro F. Bujan,0,0,0,0,0,0,0,0,0,0,1,1
Alex L. Chan,0,0,0,0,0,0,0,0,0,1,0,1
Ryan Villamil,0,0,0,0,0,1,0,0,0,0,0,1
Vincent Conitzer,2,3,5,4,5,4,3,4,5,6,4,45
Tobias Plotz,0,0,0,0,0,0,0,0,0,0,1,1
Glen Muschio,0,0,0,1,0,0,0,0,0,0,0,1
Irene-Anna Diakidoy,0,0,0,0,0,0,0,1,0,0,0,1
Guillaume Charpiat,1,0,0,0,1,0,0,0,0,0,0,2
Chen Cheng,0,0,0,0,0,1,1,0,0,0,0,2
Mohamed Souiai,0,0,0,0,0,0,0,1,0,0,0,1
Jason Pazis,0,0,0,0,1,0,2,0,0,2,0,5
Dongdai Lin,0,0,0,0,0,0,1,0,0,0,0,1
Joanna Materzynska,0,0,0,0,0,0,0,0,0,1,0,1
Mark Finocchio,0,0,0,0,1,0,0,0,0,0,0,1
Emmanuel Müller,0,1,1,0,0,0,0,1,0,0,0,3
David S. Rosenblum,0,0,0,0,0,0,0,0,1,4,0,5
Hichem Sahli,0,0,0,0,1,0,0,0,0,0,0,1
Tim Salimans,0,0,0,0,0,0,0,0,0,3,0,3
Arturo Flores,0,0,0,1,0,0,0,0,0,0,0,1
Ramin Mehran,0,0,1,1,0,0,0,0,0,0,0,2
Sivaraman Balakrishnan,0,0,0,0,2,1,1,0,0,2,1,7
Kosta Ristovski,0,0,0,0,0,0,1,0,0,0,1,2
Andrew Achkar,0,0,0,0,0,0,0,0,0,0,1,1
Maddalena Nonato,0,0,0,0,0,0,1,0,0,0,0,1
Rajat Sen,0,0,0,0,0,0,0,0,0,1,1,2
Craig Moulder,0,0,0,0,0,0,0,1,0,0,0,1
Xiaoning He,0,0,0,1,0,0,0,0,0,0,0,1
Behçet Açikmese,0,0,0,0,0,0,0,0,0,1,0,1
Anil K. Jain 0001,2,3,0,2,1,1,0,0,1,2,2,14
Chiragkumar Patel,0,0,0,0,0,0,0,0,0,1,0,1
Ameet Talwalkar,0,1,1,0,1,0,1,0,0,0,0,4
Michaël Aupetit,0,0,0,0,0,0,0,0,1,0,0,1
Wesley Kerr,0,0,0,0,1,0,0,0,0,0,0,1
Junji Yamato,0,0,1,0,0,0,0,0,0,0,0,1
Xiaoming Huo,0,1,0,0,0,0,0,0,0,0,0,1
Fred W. Huffer,0,0,0,1,0,0,0,0,0,0,0,1
Yumiko Mizoguchi,1,0,0,0,0,0,0,0,0,0,0,1
Naznin Virji-Babul,0,0,0,0,1,0,0,0,0,0,0,1
Paul E. Dunne,1,0,1,0,2,0,0,1,1,1,0,7
Xiangyu Kong,0,0,0,0,0,0,0,0,0,1,1,2
Bill N. Schilit,0,0,1,0,0,0,0,0,0,0,0,1
Martin Schiegg,0,0,0,0,0,0,0,1,0,0,0,1
Scott Sallinen,0,0,0,0,0,0,0,0,1,0,0,1
Zhichao Han,0,0,0,0,0,0,0,0,1,0,0,1
Guoliang Kang,0,0,0,0,0,0,0,0,0,1,0,1
Michael Benedikt,0,0,0,0,0,0,0,0,1,1,2,4
Ruiqi Guo,0,0,0,0,1,0,0,0,0,0,1,2
Jiaming Liu,0,0,0,0,0,0,0,0,0,0,1,1
Leonardo C. da Rocha,0,0,1,1,0,0,0,0,1,0,0,3
Wolfgang Minker,0,0,0,0,0,0,0,0,1,0,0,1
Min-Oh Heo,0,0,0,0,0,0,0,0,0,1,1,2
Donna Haverkamp,1,0,0,0,0,0,0,0,0,0,0,1
Mikhail Yurochkin,0,0,0,0,0,0,0,0,0,1,2,3
Kan Luo,0,0,0,0,0,1,0,0,0,0,0,1
Eli Shechtman,1,2,0,1,0,3,1,1,1,0,5,15
Chen-Yu Wei,0,0,0,0,0,0,0,0,0,1,1,2
Eddy Ilg,0,0,0,0,0,0,0,0,0,1,2,3
Maurice Charbit,1,0,0,0,0,0,0,0,0,0,0,1
Irman Abdic,0,0,0,0,0,0,0,0,0,1,0,1
Junqing Xie,0,0,0,0,0,0,0,0,1,0,0,1
Rahul Nair,0,0,0,0,0,0,1,0,0,1,0,2
Gianluca Antonini,0,0,0,0,0,1,0,0,0,0,0,1
Sergiu Nedevschi,0,0,0,0,0,0,0,1,0,1,1,3
Julien Cojan,0,0,0,0,1,0,0,0,0,0,0,1
Jinwen Tian,0,0,0,0,1,0,1,0,0,0,0,2
Rachel Ward,0,0,0,0,0,0,0,1,0,0,0,1
Çetin Meriçli,0,0,0,1,0,0,0,0,0,0,0,1
Douglas Summers-Stay,0,0,0,0,0,0,0,0,0,1,1,2
William L. Hamilton,0,0,0,0,0,0,0,0,0,0,1,1
Senjian An,2,1,1,1,1,0,0,1,0,0,1,8
Alexei A. Efros,1,5,4,0,2,0,1,1,1,3,6,24
Sylvain Chassang,0,0,0,0,0,0,0,0,1,0,0,1
Scott Workman,0,0,0,0,0,0,1,0,1,1,1,4
Sungsoo Ahn,0,0,0,0,0,0,0,0,1,1,1,3
Mohammad Rouhani,0,0,0,1,0,0,0,0,0,0,0,1
Faiza Khan Khattak,0,0,0,0,0,0,0,0,0,1,0,1
Christopher Thomas,0,0,0,0,0,0,0,0,0,2,1,3
Leon Weingard,0,0,0,0,0,0,1,0,0,0,0,1
Yanran Wang,0,0,0,0,0,0,1,0,0,0,0,1
Guanfeng Liang,0,0,0,0,0,0,0,0,0,1,0,1
Michael Kampffmeyer,0,0,0,0,0,0,0,0,0,1,0,1
Theodore C. Yapo,0,1,0,1,0,0,0,0,0,0,0,2
Sairam Gurajada,0,0,0,0,0,0,0,0,0,1,0,1
Dandan Song,0,0,0,0,1,0,0,0,2,1,0,4
Jun Li 0027,0,0,0,0,0,0,0,0,1,0,1,2
Luis Rademacher,0,0,1,0,0,0,3,1,1,2,1,9
Santanu Kolay,0,0,1,0,0,0,0,0,0,1,0,2
Cosmin Paduraru,1,0,0,0,0,0,0,0,0,0,0,1
Laurent Simon,1,0,1,1,1,0,2,0,0,0,1,7
John R. Kender,0,0,0,1,0,0,0,0,0,0,0,1
Jeremy Lyle,0,0,0,1,0,1,0,0,0,0,0,2
Mark Everingham,0,0,3,0,2,0,0,0,0,0,0,5
Koichi Hashimoto,1,0,0,0,0,0,0,0,0,0,0,1
Kye-Hyeon Kim,0,0,0,0,0,0,1,0,0,0,0,1
Michael Hochster,1,0,0,0,0,0,0,0,0,0,0,1
Wei-Long Zheng,0,0,0,0,0,0,0,0,1,1,0,2
Xunpeng Huang,0,0,0,0,0,0,0,0,0,0,1,1
Robert Kyle Eichelberger,0,0,0,0,0,0,1,0,0,0,0,1
Harald Frostel,0,0,0,0,0,0,0,0,1,0,0,1
Anthony Bagnall,0,0,0,0,0,1,0,0,0,0,0,1
Kelvin Xu,0,0,0,0,0,0,0,0,0,0,1,1
Alexander M. Morison,0,0,0,0,0,0,0,0,0,1,0,1
Takuya Funatomi,0,0,0,0,0,0,0,0,0,0,1,1
Wen-Bin Huang,0,0,0,0,1,0,0,0,0,0,0,1
John Moeller,0,0,0,0,0,0,0,0,1,0,0,1
Andrew E. Santosa,0,1,0,0,0,0,0,0,0,0,0,1
Alper Yilmaz,1,1,0,0,0,0,0,0,0,0,0,2
Lun Xin,1,0,0,0,0,0,0,0,0,0,0,1
Jeffery R. Price,1,0,0,0,0,0,0,0,0,0,0,1
Matthew Mitsui,0,0,0,0,0,0,0,0,0,1,1,2
Kyungmin Bae,0,0,0,0,0,0,0,0,0,1,0,1
Amin Karbasi,0,0,0,0,0,0,2,1,6,3,5,17
Eun Jee Lee,0,0,0,0,0,0,0,0,0,0,1,1
Anders Glent Buch,0,0,0,0,0,0,0,1,0,0,0,1
Nadav Cohen,0,0,0,0,0,0,0,0,0,2,0,2
Ho-Young Lee,0,0,0,0,0,1,0,0,0,0,0,1
Noah J. Apthorpe,0,0,0,0,0,0,0,0,0,1,0,1
Ying Zhou,0,0,0,0,0,0,0,0,0,1,0,1
Allan D. Jepson,1,0,0,2,0,0,1,0,0,0,0,4
Ikki Ohmukai,1,0,0,0,0,0,0,0,0,0,0,1
Ariel Kleiner,0,0,0,1,0,0,1,0,0,0,0,2
Samuel Kaski,0,0,0,0,0,0,0,2,1,1,3,7
Diane H. Theriault,0,0,0,0,0,0,0,1,0,0,0,1
Anoop R. Katti,0,0,0,0,0,0,0,0,1,0,0,1
Ladislau Bölöni,0,0,0,0,0,0,1,0,1,1,0,3
Yingxiang Yang,0,0,0,0,0,0,0,0,0,1,1,2
Dan Feldman,0,0,0,0,1,0,0,1,1,1,0,4
Xiaohui Xie,0,0,0,0,0,0,0,0,0,1,1,2
Pratik Jawanpuria,0,0,0,0,0,0,0,0,1,0,0,1
Shikai Liu,0,0,0,0,0,0,0,0,0,1,0,1
Reid Porter,0,0,0,0,0,0,0,0,1,0,0,1
Adam Bermingham,0,0,1,0,0,0,0,0,0,0,0,1
Stergios Stergiou,0,0,0,0,0,0,0,0,1,0,1,2
Martin Kiefel,0,0,0,0,1,0,0,0,0,2,1,4
G. Niklas Norén,0,1,0,0,0,0,0,0,0,0,0,1
Dezhen Song,0,0,0,2,0,0,0,0,0,0,0,2
Gene-Jack Wang,0,0,1,0,0,0,0,0,0,0,0,1
Elad Hazan,3,2,2,3,3,1,1,4,4,4,2,29
Hiroshi Kera,0,0,0,0,0,0,0,0,0,1,0,1
Orhan Camoglu,0,0,0,1,0,0,0,0,0,0,0,1
Jeffrey Ng,0,0,0,1,0,0,0,0,0,0,0,1
Oliver Fleischmann,0,0,1,0,0,0,0,0,0,0,0,1
Alex Bowyer,0,0,0,0,0,0,0,0,0,1,0,1
Mohit Gupta,0,1,1,1,1,1,0,0,0,0,0,5
Hong-Han Shuai,0,0,0,0,0,0,0,0,0,1,1,2
Noha Ibrahim,0,0,0,0,0,0,1,0,0,0,0,1
Wei Su,0,1,0,0,0,0,0,0,0,0,0,1
Dan A. Simovici,0,0,0,0,0,1,0,0,0,0,0,1
Kongbin Kang,0,0,1,0,0,0,0,0,0,0,0,1
Eugénio C. Oliveira,0,0,1,0,0,0,0,0,0,0,0,1
Peter G. Anick,0,1,0,0,0,0,0,0,0,0,0,1
Jonathan Williams,0,0,0,0,0,0,0,0,1,0,0,1
Kapil D. Katyal,0,0,0,0,0,0,0,0,0,0,1,1
Chris Wyatt 0001,0,0,0,1,0,0,0,0,0,0,0,1
Laurent D. Michel,1,0,0,0,0,0,0,0,0,0,1,2
Kai Kang,0,0,0,0,0,0,0,0,1,2,1,4
Jeremi Sudol,0,0,0,1,0,0,0,0,0,0,0,1
David Lawless,1,0,0,0,0,0,0,0,0,0,0,1
Zhenyue Zhang,0,1,0,0,0,0,0,0,0,0,0,1
Pengwei Hao,1,0,1,0,0,0,0,0,0,0,0,2
Sriram Kumar,0,0,0,0,0,0,0,0,0,1,0,1
Tai-Pang Wu,0,1,0,1,1,0,0,0,0,0,0,3
Baochen Sun,0,0,0,0,0,0,0,0,0,1,0,1
Lingxi Xie,0,0,0,0,0,0,0,1,0,2,1,4
Leonidas Lefakis,0,0,0,1,0,0,1,0,0,0,0,2
Siddharth Srivastava,0,1,0,0,2,0,0,0,1,2,0,6
Robert J. Vanderbei,0,0,0,0,0,0,0,0,0,0,1,1
De-An Huang,0,0,0,0,0,0,0,0,2,0,3,5
David Baldwin,1,0,0,0,0,0,0,0,0,0,0,1
Viliam Lisý,0,0,0,0,0,0,2,0,1,3,1,7
Marco Ciccone,0,0,0,0,0,0,0,0,0,1,0,1
Dennis DeCoste,0,0,0,0,0,0,1,0,0,0,0,1
Yinghui Pan,0,0,0,0,1,0,0,0,0,0,0,1
Siddharth Garg,0,0,0,0,0,0,0,0,0,0,1,1
Philipp Hennig,0,0,0,0,1,0,1,3,1,0,0,6
Thiago de Paulo Faleiros,0,0,0,0,0,0,0,0,1,0,0,1
Unnat Jain,0,0,0,0,0,0,0,0,0,0,1,1
Shankar Sastry,0,0,0,0,0,0,0,0,1,0,0,1
Jan Grewe,0,0,0,0,0,0,1,0,0,0,0,1
Tarek Elguebaly,0,0,0,0,1,0,0,0,0,0,0,1
Brad Rees,0,0,0,0,0,0,1,0,0,0,0,1
Brian McFee,0,0,0,1,1,0,0,0,0,0,0,2
Brent M. Berry,0,0,0,0,0,0,0,0,0,0,1,1
Ramón Otero,0,0,0,0,0,0,1,0,0,0,0,1
Michael Horrell,0,0,0,0,0,1,0,0,0,0,0,1
Martin Michalowski,0,0,0,0,1,0,0,0,0,0,0,1
Renata Vieira,0,0,0,0,0,0,0,0,0,1,0,1
Xuan Vinh Nguyen,0,0,0,0,0,0,0,1,0,0,0,1
Brian Wojcik,0,0,0,0,0,0,1,0,0,0,0,1
Tiago de Lima,0,0,0,0,0,0,0,0,0,0,2,2
Dino Sejdinovic,0,0,0,0,0,1,1,1,2,0,1,6
Seong-Ho Choi,0,0,0,0,0,0,0,0,0,0,1,1
Karthikeyan Natesan Ramamurthy,0,0,0,0,0,0,0,0,1,1,1,3
